,ECO_Code,Opening,Moves
581,D00,"Schuttler Defense, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Nbd7
582,D00,"Pietrowsky Variation, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Nc6
583,D00,"Ryder Variation, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Qxf3
584,D00,"Tautvaisis Defense, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Qxf3 Nc6
585,D00,"Tejler Gambit, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Qxf3 Qxd4 6. Be3 Qg4 7. Qf2 Ne4 8. Nxe4 Qxe4 9. O-O-O Nc6 10. Bd3
586,D00,"Albrecht; Karlshruhle Defense, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 g6
587,D00,"Lamb Defense, BDG",1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 Nc6
588,D00,"Mason Attack, Queen Pawn Game",1. d4 d5 2. f4
589,D00,Zurich Gambit,1. d4 d5 2. g4
590,D00,Chigorin; Ponziani; Veresov,1. d4 d5 2. Nc3
591,D00,"Alburt Defense, QP",1. d4 d5 2. Nc3 Bf5
592,D00,Anti-Veresov,1. d4 d5 2. Nc3 Bg4
593,D00,"Irish Gambit, QP",1. d4 d5 2. Nc3 c5
594,D00,"Shaviliuk Gambit, QP",1. d4 d5 2. Nc3 e5
595,D00,"Dutch System, QP",1. d4 d5 2. Nc3 f5
596,D00,"Fianchetto Defense, QP",1. d4 d5 2. Nc3 g6 3. Nf3 Bg7
597,D00,Shropshire Defense,1. d4 d5 2. Nc3 h5
598,D01,Richter-Veresov Opening; D01,1. d4 d5 2. Nc3 Nf6 3. Bg5
599,D01,"Veresov Variation, QP",1. d4 d5 2. Nc3 Nf6 3. Bg5 Bf5 4. Bxf6
600,D01,"Richter Variation, Veresov",1. d4 d5 2. Nc3 Nf6 3. Bg5 Bf5 4. f3
601,D01,"Classical Defense, Veresov",1. d4 d5 2. Nc3 Nf6 3. Bg5 e6 4. Nf3
602,D01,"Two Knights System, Veresov",1. d4 d5 2. Nc3 Nf6 3. Bg5 Nbd7 4. Nf3
603,D01,"Grunfeld Defense, Veresov",1. d4 d5 2. Nc3 Nf6 3. Bg5 Nbd7 4. Nf3 g6
604,D01,"Boyce Defense, Veresov",1. d4 d5 2. Nc3 Nf6 3. Bg5 Ne4
605,D00,Hubsch Gambit,1. d4 d5 2. Nc3 Nf6 3. e4 Nxe4
606,D02,"Zukertort Variation, QP; D02",1. d4 d5 2. Nf3
607,D02,"Anti-Torre, QP",1. d4 d5 2. Nf3 Bg4
608,D02,Anti-Torre,1. d4 d5 2. Nf3 Bg4 3. Ne5 Bf5 4. g4
609,D02,Queen’s Gambit Reversed; Krause Variation,1. d4 d5 2. Nf3 c5
610,D02,"Chandler Gambit, QP",1. d4 d5 2. Nf3 c5 3. g3 cxd4 4. Bg2
611,D02,"Chigorin Variation, QP",1. d4 d5 2. Nf3 Nc6
612,D02,"Symmetrical Variation, QP",1. d4 d5 2. Nf3 Nf6
613,D02,London System; Queen’s Bishop Opening,1. d4 d5 2. Nf3 Nf6 3. Bf4
614,D02,"Poisoned Pawn Variation, QP",1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Qb6 5. Nc3
615,D03,"Torre Attack, QP; D03",1. d4 d5 2. Nf3 Nf6 3. Bg5
616,D03,"Breyer Variation, QP",1. d4 d5 2. Nf3 Nf6 3. Bg5 e6 4. e3 c5 5. c3 Qb6
617,D03,"Grunfeld Variation, QP",1. d4 d5 2. Nf3 Nf6 3. Bg5 g6
618,D03,"Gossip Variation, QP",1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4
619,D02,"Zilbermints Variation, QP",1. d4 d5 2. Nf3 Nf6 3. c4 b5
620,D25,Queen’s Gambit Accepted Deferred,1. d4 d5 2. Nf3 Nf6 3. c4 dxc4
621,D04,Colle System; D04,1. d4 d5 2. Nf3 Nf6 3. e3
622,D04,"Bishop Defense, QP; Anti-Colle",1. d4 d5 2. Nf3 Nf6 3. e3 Bf5
623,D05,"Classical Defense, Colle System; D05",1. d4 d5 2. Nf3 Nf6 3. e3 e6
624,D05,"Zukertort Variation, QP",1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. Bd3
625,D05,"Rubinstein Attack, Colle",1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. Bd3 c5 5. b3
626,D02,Pseudo-Catalan,1. d4 d5 2. Nf3 Nf6 3. g3
627,D00,Amazon Attack,1. d4 d5 2. Qd3
628,D00,Siberian Attack,1. d4 d5 2. Qd3 Nc6 3. Nc3
629,A41,Pillsbury Defense; A41; Rat Defense,1. d4 d6
630,A42,A42,1. d4 d6 2. c4
631,A42,English Rat,1. d4 d6 2. c4 e5
632,A42,Lisbon Gambit,1. d4 d6 2. c4 e5 3. dxe5 Nc6
633,A41,Wade Defense,1. d4 d6 2. Nf3 Bg4
634,A40,Charlick Gambit; Englund Gambit,1. d4 e5
635,A40,Englund Gambit Declined,1. d4 e5 2. d5
636,A40,Diemer Counterattack,1. d4 e5 2. d5 Bc5 3. e4 Qh4
637,A40,Thuring Gambit; Hartlaub-Charlick Gambit,1. d4 e5 2. dxe5 d6
638,A40,Soller; Purchas Gambit,1. d4 e5 2. dxe5 f6
639,A40,Englund; Behting Gambit,1. d4 e5 2. dxe5 Nc6
640,A40,Felbecker Gambit,1. d4 e5 2. dxe5 Nc6 3. Nf3 Bc5
641,A40,Soller Gambit Deferred,1. d4 e5 2. dxe5 Nc6 3. Nf3 f6
642,A40,"Zilbermints Gambit II, Englund Gambit",1. d4 e5 2. dxe5 Nc6 3. Nf3 h6
643,A40,"Zilbermints Gambit, Englund Gambit",1. d4 e5 2. dxe5 Nc6 3. Nf3 Nge7
644,A40,Englund Gambit,1. d4 e5 2. dxe5 Nc6 3. Nf3 Qe7
645,A40,"Stockhom Variation, Englund Gambit",1. d4 e5 2. dxe5 Nc6 3. Nf3 Qe7 4. Qd5
646,A40,"Mosquito Gambit, Englund",1. d4 e5 2. dxe5 Qh4
647,A40,Horwitz Defense,1. d4 e6
648,A40,Franco-Indian Defense,1. d4 e6
649,A40,"Seneschaud Variation, Dutch",1. d4 e6 2. Bf4 f5 3. g4
650,A40,English Defense,1. d4 e6 2. c4 b6
651,A40,Perrin Variation,1. d4 e6 2. c4 b6 3. e4 Bb7 4. Bd3 Nc6
652,A40,Poli Gambit,1. d4 e6 2. c4 b6 3. e4 Bb7 4. f3 f5 5. exf5 Nh6
653,A40,Hartlaub Gambit Declined,1. d4 e6 2. c4 b6 3. Nc3 Bb7 4. e4 f5 5. d5
654,A40,Hartlaub Gambit Accepted,1. d4 e6 2. c4 b6 3. Nc3 Bb7 4. e4 f5 5. exf5 Nf6
655,A40,"Keres Defense, Indian; Kangaroo Defense",1. d4 e6 2. c4 Bb4+
656,A40,"Transpositional Variation, Keres Defense",1. d4 e6 2. c4 Bb4+ 3. Nc3
657,C00,Franco-Sicilian Defense,1. d4 e6 2. c4 c5
658,A43,Franco-Sicilian Hybrid,1. d4 e6 2. c4 c5 3. d5 exd5 4. cxd5 d6 5. Nc3 g6 6. e4 Bg7 7. Nf3 Ne7
659,A40,Zilbermints Gambit,1. d4 e6 2. c4 e5
660,A84,Bellon Gambit,1. d4 e6 2. c4 f5 3. e4
661,A80,Dutch Defense; A80,1. d4 f5
662,A80,"Seneschaud Gambit, Dutch",1. d4 f5 2. Bf4 e6 3. g4
663,A80,"Hopton Attack, Dutch",1. d4 f5 2. Bg5
664,A84,A84,1. d4 f5 2. c4
665,A84,"Classical Variation, Dutch",1. d4 f5 2. c4 e6
666,A84,"Bellon Gambit, Dutch",1. d4 f5 2. c4 e6 3. e4
667,A84,"Rubinstein Variation, Dutch",1. d4 f5 2. c4 e6 3. Nc3
668,A84,"Stonewall Variation, Dutch",1. d4 f5 2. c4 e6 3. Nc3 Nf6 4. g3 c6 5. Bg2 d5 6. O-O Bd6
669,A85,,1. d4 f5 2. c4 g6 3. Nc3
670,A85,"Bladel Variation, Dutch",1. d4 f5 2. c4 g6 3. Nc3 Nh6
671,A85,"Normal Variation, Dutch",1. d4 f5 2. c4 Nf6
672,A86,"Fianchetto Variation, Dutch; A86",1. d4 f5 2. c4 Nf6 3. g3
673,A90,A90,1. d4 f5 2. c4 Nf6 3. g3 e6
674,A90,"Classical Variation, Dutch",1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2
675,A90,Nimzo-Dutch Variation,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Bb4+
676,A91,A91,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7
677,A91,"Botvinnik-Bronstein Variation, Dutch",1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nc3 O-O 6. e3
678,A92,A92,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3
679,A93,"Botvinnik Variation, Dutch; A93",1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3
680,A94,A94,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3 c6
681,A95,A95,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3
682,A96,A96,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6
683,A97,"Ilyin-Zhenevsky Variation, Dutch; A97",1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8
684,A99,A99,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. b3
685,A98,A98,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. Qc2
686,A92,"Alekhine Variation, Dutch",1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O Ne4
687,A91,"Blackburne Attack, Dutch",1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Bg7 5. Nh3
688,A86,"Leningrad Variation, Dutch",1. d4 f5 2. c4 Nf6 3. g3 g6
689,A87,A87,1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3
690,A87,"Fluid Formation, Dutch",1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3 O-O 6. O-O d6
691,A88,"Warsaw Variation, Dutch; A88",1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3 O-O 6. O-O d6 7. Nc3 c6
692,A89,"Matulovic Variation, Dutch; A89",1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3 O-O 6. O-O d6 7. Nc3 Nc6
693,A84,"Queen’s Knight Variation, Dutch",1. d4 f5 2. c4 Nf6 3. Nc3
694,A84,"Krause Variation, Dutch",1. d4 f5 2. c4 Nf6 3. Nc3 d6 4. Nf3 Nc6
695,A85,"Ozol Variation, Dutch",1. d4 f5 2. c4 Nf6 3. Nc3 g6 4. Nf3 Bg7 5. Bg5
696,A82,"Staunton Gambit, Dutch; A82",1. d4 f5 2. e4
697,A82,"Balogh Defense, Dutch",1. d4 f5 2. e4 d6
698,A82,"Staunton Gambit Accepted, Dutch",1. d4 f5 2. e4 fxe4
699,A83,"General Variation, Staunton Gambit, Dutch; A83",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5
700,A83,"Nimzovich Variation, Dutch",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 b6
701,A83,"Chigorin Variation, Dutch",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 c6
702,A83,"Lasker Variation, Dutch",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 g6 5. f3
703,A80,"Blackmar’s Second Gambit, Dutch",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. f3
704,A82,"Tartakower Variation, Dutch",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
705,A82,"American Gambit, Dutch",1. d4 f5 2. e4 fxe4 3. Nd2
706,A81,"Dutch Indian; Leningrad Variation, Dutch; A81",1. d4 f5 2. g3
707,A81,"Basman Variation, Dutch",1. d4 f5 2. g3 g6 3. Bg2 Bg7 4. Nf3 c6 5. O-O Nh6
708,A81,"Carlsbad Variation, Dutch",1. d4 f5 2. g3 g6 3. Bg2 Bg7 4. Nh3
709,A81,"Antoshin-Hort Variation, Dutch",1. d4 f5 2. g3 Nf6 3. Bg2 d6
710,A81,"Ilyin-Genevsky Variation, Dutch",1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nf3 Be7 5. O-O O-O 6. c4 d6
711,A81,"Blackburne Variation, Dutch",1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nh3
712,A81,"Semi-Leningrad Variation, Dutch",1. d4 f5 2. g3 Nf6 3. Bg2 g6
713,A80,"Lisbon Gambit, Dutch; Krejcik Gambit",1. d4 f5 2. g4
714,A80,"Hevendehl Gambit, Dutch",1. d4 f5 2. g4 e5
715,A80,"Tate Gambit, Dutch",1. d4 f5 2. g4 fxg4 3. e4 d5 4. Nc3
716,A80,"Korchnoi’s Variation, Dutch",1. d4 f5 2. h3
717,A80,"Janzen-Korchnoi Gambit, Dutch",1. d4 f5 2. h3 Nf6 3. g4
718,A80,"Raphael Variation, Dutch",1. d4 f5 2. Nc3
719,A80,"Kingfisher Gambit, Dutch",1. d4 f5 2. Nc3 d5 3. e4
720,A80,"Spielmann Gambit, Dutch",1. d4 f5 2. Nc3 Nf6 3. g4
721,A80,"Barcza Variation, Dutch",1. d4 f5 2. Nf3 Nf6 3. c3
722,A80,"Alapin; Ulvestad; Manhattan; Kmoch Variation, Dutch",1. d4 f5 2. Qd3
723,A80,"Anti-Stonewall, Dutch",1. d4 f5 2. Qd3 d5 3. g4
724,A80,"Anti-Modern, Dutch",1. d4 f5 2. Qd3 d6 3. g4
725,A80,"Anti-Classical Line, Dutch",1. d4 f5 2. Qd3 e6 3. g4
726,A80,"Anti-Leningrad Variation, Dutch",1. d4 f5 2. Qd3 g6 3. g4
727,A80,"Manhattan Gambit, Dutch",1. d4 f5 2. Qd3 Nf6 3. g4
728,A80,"Pretzel Gambit, Dutch",1. d4 f5 2. Qd3 Nf6 3. g4
729,A40,Borg Gambit,1. d4 g5
730,A40,Queen Pawn Fianchetto,1. d4 g6
731,A40,Kotov-Robatsch Defense,1. d4 g6 2. c4 Bg7
732,A40,Pseudo-Saemisch,1. d4 g6 2. c4 Bg7 3. e4 d6 4. Be3 Nf6 5. f3
733,A40,Rossolimo Variation,1. d4 g6 2. c4 Bg7 3. e4 d6 4. Nf3 Bg4
734,A40,Neo-Modern Defense,1. d4 g6 2. c4 Bg7 3. e4 e5
735,A40,Beefeater Variation,1. d4 g6 2. c4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 f5
736,A40,Modern Defense,1. d4 g6 2. c4 Bg7 3. Nc3 d6
737,A41,"Averbakh Variation, Modern",1. d4 g6 2. c4 Bg7 3. Nc3 d6 4. e4
738,A41,"Pterodactyl Variation, Modern",1. d4 g6 2. c4 Bg7 3. Nc3 d6 4. e4 c5 5. Nf3 Qa5
739,A42,Randspringer Variation,1. d4 g6 2. c4 Bg7 3. Nc3 d6 4. e4 f5
740,A40,"Kotov Variation, Modern",1. d4 g6 2. c4 Bg7 3. Nc3 d6 4. e4 Nc6
741,A40,Lizard Defense; Pirc-Diemer Gambit,1. d4 g6 2. h4 Nf6 3. h5
742,A40,Bogoljubov; Mikenas-Van Geet Defense,1. d4 Nc6
743,A40,Lundin Defense,1. d4 Nc6
744,A40,"Lithuanian Variation, Mikenas",1. d4 Nc6 2. c4 e5 3. d5 Nce7
745,A40,"Cannstatter Variation, Mikenas",1. d4 Nc6 2. c4 e5 3. d5 Nd4
746,A40,Pozarek Gambit,1. d4 Nc6 2. c4 e5 3. dxe5 Nxe5 4. Nc3 Nxc4
747,A40,Montevideo Defense,1. d4 Nc6 2. d5 Nb8
748,A40,Zaire Defense,1. d4 Nc6 2. d5 Nb8 3. e4 Nf6 4. e5 Ng8
749,A45,Indian Defense; A45,1. d4 Nf6
750,A45,Basque Opening,1. d4 Nf6 2. b3
751,A45,Trompowsky; Opocensky; Ruth Opening,1. d4 Nf6 2. Bg5
752,A45,"Poisoned Pawn Variation, Trompowsky",1. d4 Nf6 2. Bg5 c5 3. d5 Qb6 4. Nc3
753,A45,Chepukaitis Gambit,1. d4 Nf6 2. Bg5 c5 3. d5 Qb6 4. Nc3 Qxb2 5. Bd2 Qb6
754,A45,"Borg Variation, Trompowsky",1. d4 Nf6 2. Bg5 Ne4 3. Bf4 g5
755,A45,"Edge Variation, Trompowsky",1. d4 Nf6 2. Bg5 Ne4 3. Bh4
756,A45,"Hergert Gambit #2, Trompowsky",1. d4 Nf6 2. Bg5 Ne4 3. Bh4 c6 4. Nd2 Qa5 5. c3 Nxd2 6. Qxd2 d5 7. e4
757,A45,"Hergert Gambit #1, Trompowsky",1. d4 Nf6 2. Bg5 Ne4 3. Bh4 d5 4. f3 Nf6 5. Nc3 Bf5 6. e4
758,A45,"Raptor Variation, Trompowsky",1. d4 Nf6 2. Bg5 Ne4 3. h4
759,A45,"Hergert Gambit, Trompowsky",1. d4 Nf6 2. Bg5 Ne4 3. h4 Nxg5 4. hxg5 e5
760,A50,"Normal Variation, Indian Game; A50",1. d4 Nf6 2. c4
761,A50,Pyrenees Gambit,1. d4 Nf6 2. c4 b5
762,A50,Queen’s Indian Defense; Saemisch-Indian,1. d4 Nf6 2. c4 b6
763,A56,Hromadka Defense; Loose Gambit: A56,1. d4 Nf6 2. c4 c5
764,A57,Benko Gambit; Volga; Opocensky; Vaitonis; A57,1. d4 Nf6 2. c4 c5 3. d5 b5
765,A57,"Sosonko Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. a4
766,A57,"Bishop Attack, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5
767,A57,Benko Gambit Accepted,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5
768,A57,"Pawn Return Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. b6
769,A58,"Fully Accepted Variation, Benko Gambit; A58",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
770,A59,A59,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
771,A59,"King Walk Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. g3 Bg7 10. Kg2 O-O
772,A57,"Central Storming Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. f4
773,A58,"Fianchetto Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 g6 7. Nf3 d6 8. g3 Bg7 9. Bg2
774,A57,"Modern Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. e3
775,A57,"Dlugy Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. f3
776,A57,"Zaitsev System, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3
777,A57,"Nescafe Frappe Attack, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5
778,A57,"Zaitsev Variation, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Nf3 g6 9. Bc4
779,A57,Benko Gambit Declined; Hjoerring Countergambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. e4
780,A57,"Pseudo-Saemisch, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. f3
781,A57,"Mutkin Countergambit, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. g4
782,A57,"Quiet Line, Benko Gambit",1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nd2
783,A57,"Main Line, Benko Gambit Declined",1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nf3
784,A56,"Hromadka System, Benoni",1. d4 Nf6 2. c4 c5 3. d5 d6
785,A56,Lundin; Bronstein Counter-Gambit,1. d4 Nf6 2. c4 c5 3. d5 d6 4. Nc3 g6 5. e4 b5
786,A56,Petrosian System; Czech Benoni Defense,1. d4 Nf6 2. c4 c5 3. d5 e5
787,A56,"Czech Variation, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 Be7
788,A56,"King’s Indian System, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 g6
789,A60,"Tal Variation, Modern Variation, Benoni; A60",1. d4 Nf6 2. c4 c5 3. d5 e6
790,A61,A61,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3
791,A61,"Snake Variation, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 Bd6
792,A60,Modern Benoni,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6
793,A65,"King Pawn lines, Benoni; A65",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4
794,A66,"Pawn Storm Variation, Benoni; A66",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
795,A67,"Taimanov Variation, Benoni; A67",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Bb5
796,A66,"Mikenas V, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. e5
797,A68,A68,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3
798,A68,"Four Pawns Attack, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O
799,A69,A69,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O 9. Be2 Re8
800,A70,"Classical Variation, Benoni; A70",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3
801,A72,A72,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2
802,A73,A73,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O
803,A74,A74,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6
804,A75,"Argentine Attack, Benoni; A75",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6 10. a4 Bg4
805,A76,"Czerniak Defesne, Benoni; A76",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8
806,A77,A77,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2
807,A78,A78,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6
808,A79,A79,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6 11. f3
809,A71,A71,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Bg5
810,A61,"Penrose Variation, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Bd3
811,A61,"Uhlmann Variation, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Bg5
812,A62,A62,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3
813,A62,"Fianchetto Variation, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2
814,A63,A63,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O a6
815,A64,A64,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O a6 10. a4 Nbd7 11. Nd2
816,A62,"Hastings Defense, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O Nbd7
817,A61,"Nimzovich Variation, Knight’s Tour Variation, Benoni",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Nd2
818,A56,Vulture Variation; Der Geier,1. d4 Nf6 2. c4 c5 3. d5 Ne4
819,A56,"Weenink Variation, Benoni",1. d4 Nf6 2. c4 c5 3. dxc5 e6
820,A53,Old Indian Defense; Chigorin Indian Defense; A53,1. d4 Nf6 2. c4 d6
821,A53,Aged Gibbon Gambit,1. d4 Nf6 2. c4 d6 3. g4
822,A53,"Janowski Variation, Old Indian",1. d4 Nf6 2. c4 d6 3. Nc3 Bf5
823,A53,"Grinberg Gambit, Old Indian",1. d4 Nf6 2. c4 d6 3. Nc3 Bf5 4. e4
824,A53,Ukranian Variation,1. d4 Nf6 2. c4 d6 3. Nc3 e5
825,A54,"Two Knights Variation, Old Indian; A54",1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3
826,A55,"Normal Variation, Old Indian; A55",1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3 Nbd7 5. e4
827,A53,Duz-Khotimirsky Variation,1. d4 Nf6 2. c4 d6 3. Nc3 Nbd7 4. e3 e5 5. Bd3
828,A53,Tartakower-Indian,1. d4 Nf6 2. c4 d6 3. Nf3 Bg4
